web-scraper-order,web-scraper-start-url,data-page-selector,data-page-selector-href,Product-name-0,current_price-0,original_price-0,net_quantity-0,rating-0,review_count-0,product_type-0
1756118323-64,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹44₹52SAVE₹8100 g X 2Mint Leaves Combo4.3(678),https://www.zeptonow.com/pn/mint-leaves-combo/pvid/a90537d3-693c-4c01-8b7d-25ef215a7509,Mint Leaves Combo,₹44,₹52,100 g X 2,4.3,(678),No
1756118331-65,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹54₹62SAVE₹8500 g X 2Cucumber White (Pandhri Kakdi) Combo4.6(729),https://www.zeptonow.com/pn/cucumber-white-pandhri-kakdi-combo/pvid/ea81609d-e2ed-4eb2-ae98-752f14ffab45,Cucumber White (Pandhri Kakdi) Combo,₹54,₹62,500 g X 2,4.6,(729),No
1756118339-66,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹57₹69SAVE₹125 pc X 3Colocasia Leaves (Arvi Patta) Combo4.4(497),https://www.zeptonow.com/pn/colocasia-leaves-arvi-patta-combo/pvid/a3510216-02ae-4526-8be5-e3f802922b1c,Colocasia Leaves (Arvi Patta) Combo,₹57,₹69,5 pc X 3,4.4,(497),No
1756118347-67,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹93₹117SAVE₹24250 g X 3Lettuce Iceberg Combo4.4(142),https://www.zeptonow.com/pn/lettuce-iceberg-combo/pvid/897b7318-2748-4f92-bcca-d01d9868b532,Lettuce Iceberg Combo,₹93,₹117,250 g X 3,4.4,(142),No
1756118354-68,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹180₹213SAVE₹33500 g X 3Organic Tomato Combo4.5(254),https://www.zeptonow.com/pn/organic-tomato-combo/pvid/b6affdab-2d0a-4796-9c9d-30e4af3fd0cb,Organic Tomato Combo,₹180,₹213,500 g X 3,4.5,(254),Unbrand
1756118362-69,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹42₹50SAVE₹8100 g X 2Coriander leaves Combo4.6(869),https://www.zeptonow.com/pn/coriander-leaves-combo/pvid/e91c9bd2-dfbb-4f82-b079-0f85cc2579ec,Coriander leaves Combo,₹42,₹50,100 g X 2,4.6,(869),No
1756118371-70,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹66₹78SAVE₹12250 g X 2Lettuce Iceberg Combo4.3(734),https://www.zeptonow.com/pn/lettuce-iceberg-combo/pvid/f8be21af-353f-45fc-99a3-381ba58409c4,Lettuce Iceberg Combo,₹66,₹78,250 g X 2,4.3,(734),No
1756118379-71,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹50₹58SAVE₹8250 g X 2Amaranthus Red Combo4.3(235),https://www.zeptonow.com/pn/amaranthus-red-combo/pvid/2e02be2e-3d52-4faa-91f2-95ac044d93d7,Amaranthus Red Combo,₹50,₹58,250 g X 2,4.3,(235),No
1756118386-72,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹40₹46SAVE₹65 pc X 2Colocasia Leaves (Arvi Patta) Combo4.2(701),https://www.zeptonow.com/pn/colocasia-leaves-arvi-patta-combo/pvid/47ac722d-45d1-4dae-8037-a2d89210dd82,Colocasia Leaves (Arvi Patta) Combo,₹40,₹46,5 pc X 2,4.2,(701),No
1756118394-73,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹24₹26SAVE₹250 g X 2Lemongrass Combo4.6(290),https://www.zeptonow.com/pn/lemongrass-combo/pvid/23131d37-2b9a-4ce4-9d88-f237ae8dd15e,Lemongrass Combo,₹24,₹26,50 g X 2,4.6,(290),No
1756118402-74,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹51₹60SAVE₹910 g X 3Rosemary Combo4.6(969),https://www.zeptonow.com/pn/rosemary-combo/pvid/9f14e812-6adc-4a47-9203-83cd0bb05255,Rosemary Combo,₹51,₹60,10 g X 3,4.6,(969),No
1756118411-75,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹252₹300SAVE₹482 pc X 2Apple Red Delicious Combo4.4(735),https://www.zeptonow.com/pn/apple-red-delicious-combo/pvid/528c9866-756c-4e37-8c03-e43538b365b5,Apple Red Delicious Combo,₹252,₹300,2 pc X 2,4.4,(735),Yes
1756118419-76,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3,ADD₹63₹71SAVE₹81 pieceLeek4.6(417),https://www.zeptonow.com/pn/leek/pvid/69bfd40c-deeb-464d-ad7c-c4efe1203dc1,Leek,₹63,₹71,1 piece,4.6,(417),Unbranded
