url,title,price,agency_name,agency_contact_number,governorate,area,property_type,property_size,rate_per_sqft,rooms,bathrooms,roads,parking,built_up_area,classification
https://baity.bh/properties/villa-in-muharraq-31084,Villa in Muharraq,175000,Grnata Real Estate,97336005571,Muharraq,Muharraq,VILLA,334.8,48.6,6,8,1,2,500,RB
https://baity.bh/properties/land-in-sadad-21784,Land in Sadad,152418,House Me,38777992,Northern,Sadad,PLOT,590,24,,,1,,,RB
https://baity.bh/properties/land-in-saar-42856,Land in Saar,150892,Al Mahd Real Estate,39919966,Northern,Saar,PLOT,452.2,31,,,1,,,RA
https://baity.bh/properties/land-in-damistan-40343,Land in Damistan,217000,Best Location,38868838,Northern,Damistan,PLOT,1440,14,,,2,,,RHB
https://baity.bh/properties/land-in-hamala-34819,Land in Hamala,47000,Grnata Real Estate,97336005571,Northern,Hamala,PLOT,160.7,27.2,,,1,,,RHA
https://baity.bh/properties/land-in-askar-14206,Land in Askar,72984,Grnata Real Estate,97336005571,Southern,Askar,PLOT,308.2,22,,,1,,,RA
https://baity.bh/properties/land-in-riffa-20753,Land in Riffa,110000,SAYED MAHDI REAL ESTATE AGENCY,17244399,Southern,Riffa,PLOT,301.5,33.9,,,1,,,RA
https://baity.bh/properties/villa-in-lawzi-lake-30920,Villa in Lawzi Lake,135000,Loyalty Properties,17214214,Northern,Lawzi Lake,VILLA,217.7,57.6,5,5,1,2,291,
https://baity.bh/properties/land-in-sitra-19687,Land in Sitra,115000,SAYED MAHDI REAL ESTATE AGENCY,17244399,Capital,Sitra,PLOT,359.7,29.7,,,2,,,RHA
https://baity.bh/properties/land-in-maqabah-19061,Land in Maqabah,108113.61,SAYED MAHDI REAL ESTATE AGENCY,17244399,Northern,Maqabah,PLOT,334.8,30,,,1,,,RA
https://baity.bh/properties/apartment-in-muharraq-15102,Apartment in Muharraq,90000,Grnata Real Estate,97336005571,Muharraq,Muharraq,APARTMENT,134.6,62.1,2,2,,1,,
https://baity.bh/properties/land-in-hamala-41743,Land in Hamala,123665,Domains Real Estate,39333709,Northern,Hamala,PLOT,478.7,24,,,1,,,RA
https://baity.bh/properties/land-in-hamala-40177,Land in Hamala,47000,Elite Home Real Estate,66601964,Northern,Hamala,PLOT,160.9,27.1,,,1,,,RHA
https://baity.bh/properties/apartment-in-al-hoora-22319,Apartment in Al Hoora,60000,Grnata Real Estate,97336005571,Capital,Al Hoora,APARTMENT,100,55.7,2,2,,2,,
https://baity.bh/properties/land-in-hamala-31205,Land in Hamala,74543,Grnata Real Estate,97336005571,Northern,Hamala,PLOT,238.8,29,,,1,,,RHA
https://baity.bh/properties/land-in-shakhurah-30610,Land in Shakhurah,127876,Grnata Real Estate,97336005571,Northern,Shakhurah,PLOT,396,30,,,1,,,RA
https://baity.bh/properties/apartment-in-busaiteen-32475,Apartment in Busaiteen,29999.99,Alhoor Real Estate,17640060,Muharraq,Busaiteen,APARTMENT,31,89.9,1,1,,5,,
https://baity.bh/properties/apartment-in-isa-town-40938,Apartment in Isa Town,55000,Best Location,38868838,Capital,Isa Town,APARTMENT,175,29.2,3,3,,2,,
https://baity.bh/properties/land-in-riffa-30791,Land in Riffa,271381,Grnata Real Estate,97336005571,Southern,Riffa,PLOT,764,33,,,2,,,RA
https://baity.bh/properties/land-in-hamala-32700,Land in Hamala,49697,SAYED MAHDI REAL ESTATE AGENCY,17244399,Northern,Hamala,PLOT,171,27,,,2,,,RHA
https://baity.bh/properties/apartment-in-seef-38950,Apartment in Seef,88000,Era Real Estate,6500000,Capital,Seef,APARTMENT,121,67.6,2,2,,1,,
https://baity.bh/properties/land-in-bu-quwah-40525,Land in Bu Quwah,189876.9,Best Location,38868838,Northern,Bu Quwah,PLOT,588,30,,,2,,,RHB
https://baity.bh/properties/villa-in-jid-ali-36896,Villa in Jid Ali,120000,ALAMTHAL Real Estate,13100190,Capital,Jid Ali,VILLA,168.1,66.3,4,1,2,2,281,RB
https://baity.bh/properties/land-in-manama-22451,Land in Manama,197261.06,Alsitri Real Estate,17583351,Capital,Manama,PLOT,539,34,,,1,,,RB
