id,reference_number,url,broker_display_name,broker,category,category_url,title,description,location,price,currency,price_per,bedrooms,bathrooms,furnished,rera_permit_number,dtcm_licence,scraped_ts,amenities,details,agent_name,number_of_photos,user_id,phone_number,date,iteration_number,depth,property_type,sub_category_1,sub_category_2,published_at
83325,83325,https://www.nawy.com/compound/1617-orchid/property/83325-Villa-for-sale-in-Orchid-with-1-bedrooms-in-New Heliopolis-by-SODIC,SODIC,SODIC,,,Villa for sale in Orchid with 5 bedrooms in New Heliopolis by SODIC,A 5 bedroom Villa in Orchid by SODIC. The Villa size is 427 m2 with 6 bathrooms and a roof of 153 m2 . This property will be ready for delivery not-finished by 2025-11-29.,"Orchid, New Heliopolis, Egypt",70045000,EGP,,5,6,,,,2025-11-28,"Has roof,Driver Room,Nanny Room","Gallery,View on Map,Floor Plan,Master Plan",,5,,+201065888849,2025-11-28,,,Villa,,,
98988,98988,https://www.nawy.com/compound/1680-opal-june/property/98988-Villa-for-sale-in-Opal-June-with-1-bedrooms-in-Ras El Hekma-by-SODIC,SODIC,SODIC,,,Villa for sale in Opal-June with 4 bedrooms in Ras El Hekma by SODIC,A 4 bedroom Villa in Opal-June by SODIC. The Villa size is 254 m2 with 5 bathrooms with a garden of 59 m2 . This property will be ready for delivery finished by 2026-06-30.,"Opal-June, Ras El Hekma, Egypt",132947000,EGP,,4,5,,,,2025-11-28,"Garden,Driver Room,Nanny Room","Gallery,View on Map,Floor Plan,Master Plan",,5,,+201065888849,2025-11-28,,,Villa,,,
103784,103784,https://www.nawy.com/compound/1651-jade-hills-city-gate/property/103784-villa-for-sale-in-jade-hills-city-gate-with-5-bedrooms-in-new-cairo-by-qatari-diar,Qatari Diar,Qatari Diar,,,Villa for sale in Jade Hills - City Gate with 5 bedrooms by Qatari Diar,A 5 bedroom Villa in Jade Hills - City Gate by Qatari Diar. The Villa size is 714 m2 with 6 bathrooms. This property will be ready for delivery not-finished by 2029-09-30.,"Jade Hills - City Gate, New Cairo, Egypt",143500000,EGP,,5,6,,,,2025-11-28,"Driver Room,Nanny Room","Gallery,View on Map,Floor Plan,Master Plan",,4,,+201065888849,2025-11-28,,,Villa,,,
105206,105206,https://www.nawy.com/compound/326-mindhaus-new-katameya/property/105206-Building-for-sale-in-Mindhaus New Katameya-with-43-bedrooms-in-South New Cairo-by-Marakez,Marakez,Marakez,,,Building for sale in Mindhaus New Katameya in South New Cairo by Marakez,A Building in Mindhaus New Katameya by Marakez. The Building size is 774 m2. This property will be ready for delivery semi-finished by 2027-06-30.,"Mindhaus New Katameya, South New Cairo, Egypt",179718000,EGP,,0,0,,,,2025-11-28,,"Gallery,View on Map,Floor Plan,Master Plan",,5,,+201065888849,2025-11-28,,,Building,,,
97149,97149,https://www.nawy.com/compound/1637-the-village-views/property/97149-Apartment-for-sale-in-The Village Views-with-21-bedrooms-in-El Sheikh Zayed-by-Ora Developers,Ora Developers,Ora Developers,,,Apartment for sale in The Village Views with 3 bedrooms in El Sheikh Zayed by Ora Developers,A 3 bedroom Apartment in The Village Views by Ora Developers. The Apartment size is 206 m2 with 3 bathrooms and a terrace of 9 m2. This property will be ready for delivery finished by 2029-01-31.,"The Village Views, El Sheikh Zayed, Egypt",28704000,EGP,,3,3,,,,2025-11-28,"Terrace,Nanny Room","Gallery,View on Map,Floor Plan,Master Plan",,6,,+201065888849,2025-11-28,,,Apartment,,,
104168,104168,https://www.nawy.com/compound/1619-club-park-icity-october/property/104168-Apartment-for-sale-in-Club Park - ICity October-with-21-bedrooms-in-Northern Expansion-by-Mountain View,Mountain View,Mountain View,,,I-Apartment for sale in Club Park - ICity October with 3 bedrooms in Northern Expansion by Mountain View,A 3 bedroom Apartment in Club Park - ICity October by Mountain View. The Apartment size is 160 m2 with 3 bathrooms. This property will be ready for delivery not-finished by 2029-12-01.,"Club Park - ICity October, Northern Expansion, Egypt",11074868,EGP,,3,3,,,,2025-11-28,,"Gallery,View on Map,Floor Plan,Master Plan",,5,,+201065888849,2025-11-28,,,Apartment,,,
108066,108066,https://www.nawy.com/compound/1548-district-2-moon-heights/property/108066-Apartment-for-sale-in-District 2 - Moon Heights-with-21-bedrooms-in-October Gardens-by-Palm Hills Developments,Palm Hills Developments,Palm Hills Developments,,,Apartment for sale in District 2 - Moon Heights with 2 bedrooms in October Gardens by Palm Hills Developments,A 2 bedroom Apartment in District 2 - Moon Heights by Palm Hills Developments. The Apartment size is 114 m2 with 3 bathrooms and a roof of 21 m2 . This property will be ready for delivery finished by 2030-12-30.,"District 2 - Moon Heights, October Gardens, Egypt",10977970,EGP,,2,3,,,,2025-11-28,Has roof,"Gallery,View on Map,Floor Plan,Master Plan",,5,,+201065888849,2025-11-28,,,Apartment,,,
71724,71724,https://www.nawy.com/compound/927-salt/property/71724-Chalet-for-sale-in-Salt-with-5-bedrooms-in-Ras El Hekma-by-Tatweer Misr,Tatweer Misr,Tatweer Misr,,,Chalet for sale in Salt with 2 bedrooms in Ras El Hekma by Tatweer Misr,A 2 bedroom Chalet in Salt by Tatweer Misr. The Chalet size is 95 m2 with 2 bathrooms. This property will be ready for delivery finished by 2030-01-30.,"Salt, Ras El Hekma, Egypt",13638000,EGP,,2,2,,,,2025-11-28,"Clubhouse ,Commercial strip","Gallery,View on Map,Floor Plan,Master Plan",,5,,+201065888849,2025-11-28,,,Chalet,,,
108644,108644,https://www.nawy.com/compound/1701-core/property/108644-Apartment-for-sale-in-Core-with-21-bedrooms-in-October Gardens-by-Orascom Development Egypt,Orascom Development Egypt,Orascom Development Egypt,,,Apartment for sale in Core with 2 bedrooms in October Gardens by Orascom Development Egypt,A 2 bedroom Apartment in Core by Orascom Development Egypt. The Apartment size is 113 m2 with 2 bathrooms with a garden of 62 m2 . This property will be ready for delivery semi-finished by 2027-12-31.,"Core, October Gardens, Egypt",11621000,EGP,,2,2,,,,2025-11-28,Garden,"Gallery,View on Map,Floor Plan,Master Plan",,4,,+201065888849,2025-11-28,,,Apartment,,,
104333,104333,https://www.nawy.com/compound/90-il-monte-galala/property/104333-Chalet-for-sale-in-Il Monte Galala-with-5-bedrooms-in-Ain Sokhna-by-Tatweer Misr,Tatweer Misr,Tatweer Misr,,,Chalet for sale in Il Monte Galala with 2 bedrooms in Ain Sokhna by Tatweer Misr,A 2 bedroom Chalet in Il Monte Galala by Tatweer Misr. The Chalet size is 95 m2 with 2 bathrooms with a garden of 102 m2 . This property will be ready for delivery finished by 2030-03-30.,"Il Monte Galala, Ain Sokhna, Egypt",11902000,EGP,,2,2,,,,2025-11-28,Garden,"Gallery,View on Map,Floor Plan,Master Plan",,5,,+201065888849,2025-11-28,,,Chalet,,,
