web-scraper-order,web-scraper-start-url,pagination-selector,data-page-selector,data-page-selector-href,Product-Thing-name-0,Product-sku-0,Product-Offer-price-0,Product-name-0,breadcrumbs-0,rating-0,maximum_retail_price-0,product_details-0,tshirt_design-0,tshirt_neck-0,tshirt_sleeves-0,trousers_design-0,trousers_closure-0,trousers_pockets-0,size_fit_info-0,tshirt_fabric-0,bottom_closure-0,bottom_fabric-0,bottom_pattern-0,bottom_type-0,neck-0,occasions-0
"1756115259-50","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","","Clora CreationFloral Printed Co-OrdsSizes: MRs. 593Rs. 3999(Rs. 3406 OFF)Only Few Left!","https://www.myntra.com/co-ords/clora+creation/clora-creation-floral-printed-shirt-with-trouser-/30225965/buy","STIL O STITCH","30225965","₹593","Floral Printed Shirt With Trouser","Home/Clothing/Women Clothing/Co-Ords/Clora Creation Co-Ords>More by Clora Creation","3.7","₹3999","This co-ords consists of a shirt with trousers
Pink and off-white floral printed shirt has three quarter sleeves, Shirt Collar and button closure
Pink and off-white floral printed trousers has an elasticated waistband with a slip-on closure","","","","","","","The model (height 5'7"") is wearing a size 36","Top Fabric: Viscose Rayon
Bottom Fabric: Viscose Rayon
Hand Wash","Slip-On","Viscose Rayon","Printed","Trousers","Shirt Collar","Casual"
"1756115262-51","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","","ANNSH APPARELPrinted Tunic With TrousersSizes: XXLRs. 599Rs. 2999(Rs. 2400 OFF)","https://www.myntra.com/co-ords/annsh+apparel/annsh-apparel-floral-printed-notched-round-neck-tunic-with-trousers/31569515/buy","ARTKLIM","31569515","₹599","Floral Printed Notched Round Neck Tunic With Trousers","Home/Clothing/Women Clothing/Co-Ords/ANNSH APPAREL Co-Ords>More by ANNSH APPAREL","","₹2999","This co-ords consists of a tunic and trousers
Pink and green  floral printed tunic, has a notched round neck and three-quarter sleeves
Pink and green floral printed trousers, has an partially elasticated waistband with drawstring closure","","","","","","","The model (height 5'8"") is wearing a size S","Top Fabric: Viscose Rayon
Bottom Fabric: Viscose Rayon
Hand Wash","Drawstring","Viscose Rayon","Printed","Trousers","Round Neck","1 top and 1 pant"
"1756115265-52","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","","ANNSH APPARELPrinted Tunic With TrousersSizes: XXLRs. 599Rs. 2999(Rs. 2400 OFF)","https://www.myntra.com/co-ords/annsh+apparel/annsh-apparel-floral-printed-notched-round-neck-tunic-with-trousers/31569528/buy","zebu","31569528","₹599","Floral Printed Notched Round Neck Tunic With Trousers","Home/Clothing/Women Clothing/Co-Ords/ANNSH APPAREL Co-Ords>More by ANNSH APPAREL","3.6","₹2999","This co-ords consists of a tunic and trousers
Pink and white floral printed tunic, has a notched round neck and three-quarter sleeves
Pink and white floral printed trousers, has an partially elasticated waistband with drawstring closure","","","","","","","The model (height 5'8"") is wearing a size S","Top Fabric: Viscose Rayon
Bottom Fabric: Viscose Rayon
Hand Wash","Drawstring","Viscose Rayon","Printed","Trousers","Round Neck","Floral"
"1756115268-53","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","","Clora CreationPrinted Shirt With TrouserSizes: MRs. 593Rs. 3999(Rs. 3406 OFF)Only Few Left!","https://www.myntra.com/co-ords/clora+creation/clora-creation-shirt-collar-printed-shirt-with-trousers/31667396/buy","HERE&NOW","31667396","₹593","Shirt Collar Printed Shirt With Trousers","Home/Clothing/Women Clothing/Co-Ords/Clora Creation Co-Ords>More by Clora Creation","","₹3999","This co-ords consists of a Printed Shirt with Trousers
Pink and cream floral printed shirt has three quarter sleeves, Shirt Collar and button closure
Pink and cream floral printed trousers has elasticated waistband and slip-on closure.","","","","","","","The model (height 5'8"") is wearing a size S","Top Fabric: Viscose Rayon
Bottom Fabric: Viscose Rayon
Hand Wash","Slip-On","Viscose Rayon","Printed","Trousers","Shirt Collar","Casual"
"1756115271-54","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","","Clora CreationAbstract Printed Co-OrdsSizes: LRs. 593Rs. 3999(Rs. 3406 OFF)Only Few Left!","https://www.myntra.com/co-ords/clora+creation/clora-creation-abstract-printed-shirt-with-trousers/24478528/buy","CHOZI","24478528","₹593","Abstract Printed Shirt With Trousers","Home/Clothing/Women Clothing/Co-Ords/Clora Creation Co-Ords>More by Clora Creation","","₹3999","This co-ord set consists of a shirt and trousers
Pink and white abstract printed shirt, has shirt collar with button placket, three-quarter sleeves with button cuffs and curved hem
Pink and white printed trousers has elasticated waistband with slip-on closure and 1 pocket","","","","","","","The model (height 5'8"") is wearing a size M","Cotton Blend
Hand Wash","Slip-On","Cotton Blend","Printed","Trousers","Shirt Collar","Casual"
"1756115274-55","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","","TIKODIStriped NightsuitsSizes: XLRs. 499Rs. 2899(82% OFF)Only Few Left!","https://www.myntra.com/co-ords/tikodi/tikodi-striped-nightsuits/30516978/buy","FIMS","30516978","₹499","Striped Nightsuits","Home/Clothing/Women Clothing/Co-Ords/TIKODI Co-Ords>More by TIKODI","4.1","₹2899","Pink and white printed nightwear consists of shirt and pyjama
Pink and white printed shirt, has lapel collar, Three-Quarter Sleeves and straight hem
Pink and white printed pyjama, has a slip on closure","","","","","","","The model (height 5'8') is wearing a size M","Top Fabric: Poly Cotton,
Bottom Fabric: Poly Cotton
Hand Wash","Slip-On","Pure Cotton","Checked","Trousers","V-Neck","Casual"
"1756115277-56","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","","A PLUS BY AHALYAAWomen Tunic & Sharara SetSizes: 6XLRs. 1799Rs. 10000(Rs. 8201 OFF)Only Few Left!","https://www.myntra.com/co-ords/a+plus+by+ahalyaa/a-plus-by-ahalyaa-women-plus-size-printed-tunic-with-sharara-ethnic-co-ords-set/26754650/buy","VAMA","26754650","₹1799","Women Plus Size Printed Tunic With Sharara Ethnic Co-Ords Set","Home/Clothing/Women Clothing/Co-Ords/A PLUS BY AHALYAA Co-Ords>More by A PLUS BY AHALYAA","","₹10000","This co-ords set consists of tunic and sharara
Pink and gold printed tunic, has a v-neck, three-quarter sleeves,
Pink and gold printed sharara, has a slip-on closure","","","","","","","Size worn by the model: 3XL
Chest: 41''
Waist: 36''
Hips: 46.5''
Height: 5'8""","Poly Crepe
       Hand Wash","Slip-On","Polyester","Printed","Palazzos","V-Neck","1-tunic 1-sharara"
"1756115280-57","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","","HOUSE OF MIRAPrinted Shirt & TrouserSizes: LRs. 448Rs. 3199(85% OFF)Only Few Left!","https://www.myntra.com/co-ords/house+of+mira/house-of-mira-tropical-printed-longline-shirt--trouser/27378168/buy","indian flower","27378168","₹448","Tropical Printed Longline Shirt & Trouser","Home/Clothing/Women Clothing/Co-Ords/HOUSE OF MIRA Co-Ords>More by HOUSE OF MIRA","4.1","₹3199","Pink and white printed co-ords has shirt and trouser
Pink and white tropical printed shirt, has a shirt collar, button closure and long sleeves
Pink and white tropical printed mid-rise trousers, has elasticated waistband with slip-on closure and 2 side pockets","","","","","","","The model (height 5'8"") is wearing a size M","Top Fabric: Polyester
Bottom Fabric: Polyester
Machine Wash","Slip-On","Polyester","Printed","Trousers","Shirt Collar","Casual"
"1756115283-58","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","","SelviaTop With Trousers Co-OrdsSizes: SRs. 538Rs. 5380(90% OFF)Only Few Left!","https://www.myntra.com/co-ords/selvia/selvia-top-with-trousers-co-ords/30011958/buy","Zastraa","30011958","₹538","Top With Trousers Co-Ords","Home/Clothing/Women Clothing/Co-Ords/Selvia Co-Ords>More by Selvia","4.1","₹5380","This co-ords consists of top and trousers
Pink solid top, has short sleeves, slip-on closure and regular waist hem
Pink solid mid-rise trousers, has button closure and flared hem","","","","","","","The model (height 5'8"") is wearing a size S","Top Fabric: Polyester
Bottom Fabric: Polyester
Hand Wash","Button","Polyester","Solid","Trousers","Has a lining","2"
"1756115286-59","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","","Clora CreationPrinted Top & Trouser Co-OrdsSizes: XLRs. 593Rs. 3999(Rs. 3406 OFF)Only Few Left!","https://www.myntra.com/co-ords/clora+creation/clora-creation-women-floral-printed-three-quarter-sleeve-top--trouser-co-ords/29584896/buy","NIGHT FLOSS","29584896","₹593","Women Floral Printed Three Quarter Sleeve Top & Trouser Co-Ords","Home/Clothing/Women Clothing/Co-Ords/Clora Creation Co-Ords>More by Clora Creation","","₹3999","This co-ords consists of Shirt and Trouser
Pink Floral Printed shirt, has Shirt collar Three Quarter sleeves full placket Button closure and regular waist hem
Pink Floral Printed mid-rise Trouser, has Slip on closure","","","","","","","The model (height 5'8"") is wearing a size 38","Top Fabric: Viscose Rayon
Bottom Fabric: Viscose Rayon
Hand wash","Slip-On","Viscose Rayon","Printed","Trousers","Shirt Collar","Casual"
"1756115289-60","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","","HOUSE OF MIRAPrinted Shirt & TrouserSizes: XLRs. 448Rs. 3199(85% OFF)","https://www.myntra.com/co-ords/house+of+mira/house-of-mira-geometric-printed-roll-up-sleeves-shirt--trouser/27378184/buy","MINT STREET","27378184","₹448","Geometric Printed Roll Up Sleeves Shirt & Trouser","Home/Clothing/Women Clothing/Co-Ords/HOUSE OF MIRA Co-Ords>More by HOUSE OF MIRA","3.2","₹3199","Pink and white printed co-ords has shirt and trousers
Pink and white geometric printed shirt, has a shirt collar, button closure and short sleeves, 2 chest pocket 
Pink and white geometric printed mid-rise trousers, has elasticated waistband with slip-on closure and 2 side pockets","","","","","","","The model (height 5'8"") is wearing a size S","Top Fabric: Polyester
Bottom Fabric: Polyester
Machine Wash","Slip-On","Polyester","Printed","Trousers","Shirt Collar","Casual"
"1756115293-61","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","","mokshiPrinted Tunic With PalazzosSizes: SRs. 549Rs. 4999(89% OFF)","https://www.myntra.com/co-ords/mokshi/mokshi-floral-printed-tunic-with-palazzos/31158008/buy","HERE&NOW","31158008","₹549","Floral Printed Tunic With Palazzos","Home/Clothing/Women Clothing/Co-Ords/mokshi Co-Ords>More by mokshi","4.1","₹4999","Product Details 
This co-ord set consists of a tunic & palazzos
Pink printed tunic, has a shirt collar, three-quarter sleeves with a button closure
Pink printed palazzos, elasticated waistband with a slip-on closure","","","","","","","The model (height 5'8"") is wearing a size S","100% Viscose Rayon
Hand Wash","Slip-On","Viscose Rayon","Printed","Palazzos","Shirt Collar","Tunic With Palazzos"
"1756115296-62","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","","Moda RapidoShirt With Shorts Co-OrdsSizes: SRs. 399Rs. 1999(Rs. 1600 OFF)","https://www.myntra.com/co-ords/moda+rapido/moda-rapido-printed-shirt-with-shorts-co-ords-/34511166/buy","","34511166","₹399","Printed Shirt With Shorts Co-Ords","Home/Clothing/Women Clothing/Co-Ords/Moda Rapido Co-Ords>More by Moda Rapido","","₹1999","This co-ords consists of a shirt and trousers
Pink & purple printed shirt, has a shirt collar- neck and long sleeves, Secured with button closure
Pink & purple printed trousers, has an elasticated waistband with slip-on closure","","","","","","","The model (height 5'8"") is wearing a size S","Top fabric: Polyester
Bottom fabric: Polyester
Regular machine wash","Slip-On","Polyester","Printed","Trousers","Mandarin Collar","1"
"1756115299-63","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","","FLAVIA CREATIONShirt With Trousers Co-OrdsSizes: SRs. 989Rs. 5499(82% OFF)","https://www.myntra.com/co-ords/flavia+creation/flavia-creation-printed-round-neck-shirt-with-trousers-co-ords/33861366/buy","","33861366","₹989","Printed Round Neck Shirt With Trousers Co-Ords","Home/Clothing/Women Clothing/Co-Ords/FLAVIA CREATION Co-Ords>More by FLAVIA CREATION","","₹5499","This co-ords consists of a shirt and trouser 
Pink and grey printed shirt, has a collar neck and three-quarter sleeves
Pink and grey printed trouser, has an elasticated waistband with slip-on closure has 2 pockets","","","","","","","The model (height 5'8"") is wearing a size S","Top fabric: Pure cotton
Bottom fabric: Pure cotton
Hand wash","Slip-On","Pure Cotton","Printed","Trousers","Shirt Collar","2"
