web-scraper-order,web-scraper-start-url,pagination-selector,data-page-selector,data-page-selector-href,Product-Thing-name-0,Product-sku-0,Product-Offer-price-0,Product-name-0,breadcrumbs-0,rating-0,maximum_retail_price-0,product_details-0,tshirt_design-0,tshirt_neck-0,tshirt_sleeves-0,trousers_design-0,trousers_closure-0,trousers_pockets-0,size_fit_info-0,tshirt_fabric-0,bottom_closure-0,bottom_fabric-0,bottom_pattern-0,bottom_type-0,neck-0,occasions-0
"1756115228-40","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","","Stylecast X KottyTop & Shorts Co-OrdsSizes: SRs. 599Rs. 3999(85% OFF)","https://www.myntra.com/co-ords/stylecast+x+kotty/stylecast-x-kotty-pink-off-shoulder-smocked-crop-top-with-shorts/27910878/buy","Oxolloxo","27910878","₹599","Pink Off Shoulder Smocked Crop Top With Shorts","Home/Clothing/Women Clothing/Co-Ords/Stylecast X Kotty Co-Ords>More by Stylecast X Kotty","3.1","₹3999","This co-ords consists of top and shorts
Pink solid top, has off shoulder, short sleeves, slip-on closure and regular waist hem
Pink solid mid-rise shorts, has slip-on closure and flared hem","","","","","","","The model (height 5'8"") is wearing a size S","Top fabric: Viscose rayon
Bottom fabric: Viscose Rayon
Machine wash","Button","Viscose Rayon","Solid","Shorts","Off-Shoulder","Casual"
"1756115231-41","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","","WESTHOODTop With Trousers Co-OrdsSizes: LRs. 686Rs. 4899(85% OFF)Only Few Left!","https://www.myntra.com/co-ords/westhood/westhood-top-with-trousers-co-ords/33718524/buy","","33718524","₹686","Top With Trousers Co-Ords","Home/Clothing/Women Clothing/Co-Ords/WESTHOOD Co-Ords>More by WESTHOOD","4.3","₹4899","This co-ords consists of a top and trousers
Pink solid top, has a round neck and short sleeves
Pink solid trousers, has an elasticated waistband with slip-on closure has 2 pockets","","","","","","","The model (height 5'8"") is wearing a size S","Top fabric: Polyester
Bottom fabric: Polyester
Machine wash","Slip-On","Polyester","Solid","Trousers","Round Neck","2"
"1756115234-42","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","","FLAVIA CREATIONPure Cotton Top With TrouserSizes: SRs. 934Rs. 5499(83% OFF)","https://www.myntra.com/co-ords/flavia+creation/flavia-creation-printed-v-neck-long-sleeves-pure-cotton-top-with-trouser/31895535/buy","I like me","31895535","₹934","Printed V-Neck Long Sleeves Pure Cotton Top With Trouser","Home/Clothing/Women Clothing/Co-Ords/FLAVIA CREATION Co-Ords>More by FLAVIA CREATION","","₹5499","This co-ords consists of a top and trouser
Pink and white printed top, has a v-neck and long sleeves
Pink and white printed trousers, has an elasticated waistband with slip-on closure","","","","","","","The model (height 5.8') is wearing a size S","Top Fabric: Pure Cotton 
Bottom Fabric: Pure Cotton 
Hand Wash","Slip-On","Pure Cotton","Printed","Trousers","V-Neck","1 Top 1 Trouser"
"1756115237-43","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","","SelviaCausal Co-Ords SetSizes: XLRs. 476Rs. 2890(83% OFF)Only Few Left!","https://www.myntra.com/co-ords/selvia/selvia-square-neck-front-slit-causal-top-and-trouser/23721104/buy","CHOZI","23721104","₹476","Square Neck Front Slit Causal Top And Trouser","Home/Clothing/Women Clothing/Co-Ords/Selvia Co-Ords>More by Selvia","3.9","₹2890","This co-ords consists of top and trouser
Pink solid top, has square neck, puff sleeves, front slit and slip-on closure
Pink solid mid-rise trouser, has slip-on closure and flared hem","","","","","","","The model (height 5'8"") is wearing a size S","Polyester
Machine Wash","Slip-On","Polyester","Solid","Trousers","Square Neck","Long Sleeves"
"1756115239-44","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","","PRETTY LOVING THINGPrinted Top With SkirtSizes: XXLRs. 599Rs. 2999(80% OFF)Only Few Left!","https://www.myntra.com/co-ords/pretty+loving+thing/pretty-loving-thing-striped-shoulder-straps-neck-sleeveless-top-with-skirt-/31883588/buy","StyleStone","31883588","₹599","Striped Shoulder Straps Neck Sleeveless Top With Skirt","Home/Clothing/Women Clothing/Co-Ords/PRETTY LOVING THING Co-Ords>More by PRETTY LOVING THING","","₹2999","This co-ords consists of Top and Skirts
Pink & beige printed top, has shoulder strap & sleeveless 
Pink & beige printed skirt, has slip-on closure","","","","","","","The model (height 5'8"") is wearing a size S","Top Fabric: Polyester
Bottom Fabric: Polyester
Machine Wash","Slip-On","Polyester","Printed","Skirt","Shoulder Straps","1 Top 1 Skirt"
"1756115243-45","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","","Shiv ali apparelsTunic With Trouser Co-OrdsSizes: XXLRs. 699Rs. 4999(86% OFF)","https://www.myntra.com/co-ords/shiv+ali+apparels/shiv-ali-apparels-women-mandarin-collar-tunic-with-trousers-casual-co-ords-set/31169669/buy","Joomie","31169669","₹699","Women Mandarin Collar Tunic With Trousers Casual Co-Ords Set","Home/Clothing/Women Clothing/Co-Ords/Shiv ali apparels Co-Ords>More by Shiv ali apparels","4.4","₹4999","This co-ords consists of Tunic and trouser
Pink solid Tunic has Mandarin Neck collar, Three quarter Sleeves, Slip-on closure  regular waist hem
Pink solid mid-rise Trouser, slip-on closure and 1 Pocket and flared hem","","","","","","","The model (height 5'8"") is wearing a size S","Top fabric:Cotton Blend
Bottom fabric:Cotton Blend
Machine Wash","Slip-On","Cotton Blend","Solid","Trousers","Mandarin Collar","1 top & 1 bottom"
"1756115246-46","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","","FUTUROMandarin Collar Co-OrdsSizes: XLRs. 599Rs. 3999(85% OFF)Only Few Left!","https://www.myntra.com/co-ords/futuro/futuro-mandarin-collar-puff-sleeves-top-with-trousers/30618319/buy","LELA","30618319","₹599","Mandarin Collar Puff Sleeves Top With Trousers","Home/Clothing/Women Clothing/Co-Ords/FUTURO Co-Ords>More by FUTURO","","₹3999","This co-ords consists of top and trousers
pink solid top, has v-neck, puff three-quarter, and regular waist hem
pink solid mid-rise trousers, has slip-on closure and flared hem","","","","","","","The model (height 5'8"") is wearing a size M","Top Fabric: Viscose Rayon 
Bottom Fabric: Viscose Rayon
Machine Wash","Slip-On","Cotton Blend","Solid","Trousers","Has a lining","Casual"
"1756115249-47","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","","Global DesiPrinted Top With Maxi SkirtSizes: XLRs. 997Rs. 3990(75% OFF)Only Few Left!","https://www.myntra.com/co-ords/global+desi/global-desi-geometric-printed-top-with-maxi-skirt/27548644/buy","Ethnovog","27548644","₹997","Geometric Printed Top With Maxi Skirt","Home/Clothing/Women Clothing/Co-Ords/Global Desi Co-Ords>More by Global Desi","4.0","₹3990","This co-ord set consists of Top and Skirt
Pink and white geometric printed top, has a v-neck, three-quarter sleeves, tie-up closure
Pink and white geometric printed skirt, has a slip-on closure, side slits","","","","","","","The model (height 5'8) is wearing a size S","Top fabric: Viscose Rayon
Bottom fabric: Viscose Rayon
Machine Wash","Slip-On","Viscose Rayon","Printed","Skirt","V-Neck","Casual"
"1756115253-48","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","","Atha FashionTop With Trousers Co-OrdsSizes: MRs. 1000Rs. 10000(90% OFF)Only Few Left!","https://www.myntra.com/co-ords/atha+fashion/atha-fashion-printed-v-neck-rosy-ember-top-with-trousers-co-ords/34641379/buy","","34641379","₹1000","Printed V Neck Rosy Ember Top With Trousers Co-Ords","Home/Clothing/Women Clothing/Co-Ords/Atha Fashion Co-Ords>More by Atha Fashion","","₹10000","This co-ords consists of a top and trousers
Pink printed top, has v neck and three quarter sleeves, secured with slip on closure
Pink printed trousers, has an elasticated waistband with slip on closure","","","","","","","The model (height 5'8"") is wearing size S","Top Fabric: Cotton Blend
Bottom Fabric: Cotton Blend
Machine Wash","Slip-On","Cotton Blend","Printed","Trousers","V-Neck","2"
"1756115256-49","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","","BROOWLWomen  Pure Cotton Solid Co-OrdsSizes: SRs. 1500Rs. 7899(81% OFF)","https://www.myntra.com/co-ords/broowl/broowl-women-pink--pure-cotton-solid-co-ords/20257228/buy","FABINALIV","20257228","₹1500","Women Pink  Pure Cotton Solid Co-Ords","Home/Clothing/Women Clothing/Co-Ords/BROOWL Co-Ords>More by BROOWL","","₹7899","This co-ord set consists of a top and a trouser
Pink solid top, has a Round neck, Long sleevess and slip-on closure
Pink solid trouser, has a partially elasticated waistband with Draw String closure","","","","","","","The model (height 5'8"") is wearing a size M","100% Cotton
Machine-wash","Drawstring","Wool Blend","Self Design","Trousers","Round Neck","Pastels"
