web-scraper-order,web-scraper-start-url,links,links-href,brand,tittle,rating,review count,price,mrp,discount
"1756114351-22","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","SwastiPure Cotton Shirt & TrouserSizes: 3XLRs. 1259Rs. 6999(82% OFF)","https://www.myntra.com/co-ords/swasti/swasti-floral-printed-shirt-pure-cotton-plus-size-shirt-with-trouser-/33144156/buy","Swasti","Floral Printed Shirt Pure Cotton Plus Size Shirt With Trouser","","","₹1259","₹6999","(82% OFF)"
"1756114358-23","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","BAESDCrop Top With Trouser Co-OrdsSizes: LRs. 899Rs. 5249(Rs. 4350 OFF)","https://www.myntra.com/co-ords/baesd/baesd-printed-pure-cotton-crop-top-with-trouser-co-ords/31747106/buy","BAESD","Printed Pure Cotton Crop Top With Trouser Co-Ords","","","₹899","₹5249","(Rs. 4350 OFF)"
"1756114365-24","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","SwastiPlus Size Printed Co-OrdsSizes: 4XLRs. 1259Rs. 6999(82% OFF)","https://www.myntra.com/co-ords/swasti/swasti-plus-size-floral-printed-pure-cotton-tunic--trouser/30114283/buy","Swasti","Plus Size Floral Printed Pure Cotton Tunic & Trouser","4.4","18 Ratings","₹1259","₹6999","(82% OFF)"
"1756114372-25","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","KETCHCropped Top & PalazzoSizes: XLRs. 391Rs. 2449(84% OFF)","https://www.myntra.com/co-ords/ketch/ketch-round-neck-cropped-top--palazzo/22511094/buy","KETCH","Round Neck Cropped Top & Palazzo","3.8","25 Ratings","₹391","₹2449","(84% OFF)"
"1756114379-26","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","KALINIPrinted Shirt With TrouserSizes: XSRs. 1403Rs. 10799(87% OFF)Only Few Left!","https://www.myntra.com/co-ords/kalini/kalini-floral-printed-lapel-collar-shirt-with-trouser/25935720/buy","KALINI","Floral Printed Lapel Collar Shirt With Trouser","","","₹1403","₹10799","(87% OFF)"
"1756114386-27","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","PRETTY LOVING THINGPrinted Top With SkirtSizes: MRs. 479Rs. 2999(84% OFF)","https://www.myntra.com/co-ords/pretty+loving+thing/pretty-loving-thing-printed-off-shoulder-sleeveless-top-with-skirt-/31883612/buy","PRETTY LOVING THING","Printed Off-Shoulder Sleeveless Top With Skirt","","","₹479","₹2999","(84% OFF)"
"1756114393-28","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","AnoukPrinted Top With PalazzosSizes: XSRs. 799Rs. 3999(80% OFF)","https://www.myntra.com/co-ords/anouk/anouk-pink-printed-mandarin-collar-top-with-palazzos/30658559/buy","Anouk","Pink Printed Mandarin Collar Top With Palazzos","3","17 Ratings","₹799","₹3999","(80% OFF)"
"1756114400-29","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","DressBerryV-Neck Co-OrdsSizes: LRs. 799Rs. 3999(Rs. 3200 OFF)","https://www.myntra.com/co-ords/dressberry/dressberry-pink-ribbed-v-neck-top-with-trousers-co-ords/27287040/buy","DressBerry","Pink Ribbed V-Neck Top With Trousers Co-Ords","4.1","221 Ratings","₹799","₹3999","(Rs. 3200 OFF)"
"1756114407-30","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","SwastiPlus Size Printed Co-OrdsSizes: 8XLRs. 1259Rs. 6999(82% OFF)","https://www.myntra.com/co-ords/swasti/swasti-plus-size-floral-printed-pure-cotton-tunic--trouser/30114282/buy","Swasti","Plus Size Floral Printed Pure Cotton Tunic & Trouser","4","12 Ratings","₹1259","₹6999","(82% OFF)"
"1756114414-31","https://www.myntra.com/myntra-fashion-store?f=Categories%3AClothing%20Set%2CCo-Ords%3A%3AColor%3APink_f1a9c4%3A%3AGender%3Amen%20women%2Cwomen&rf=Discount%20Range%3A80.0_100.0_80.0%20TO%20100.0","VarangaShirt Collar Tunic & TrousersSizes: LRs. 899Rs. 4599(Rs. 3700 OFF)","https://www.myntra.com/co-ords/varanga/varanga-shirt-collar-tunic-with-trousers-/27949468/buy","Varanga","Shirt Collar Tunic With Trousers","4.1","151 Ratings","₹899","₹4599","(Rs. 3700 OFF)"
