web-scraper-order,web-scraper-start-url,pagination-selector,data-page-selector,data-page-selector-href,Product-AggregateRating-ratingValue-0,Product-Thing-name-0,Product-color-0,Product-sku-0,Product-description-0,BreadcrumbList-ListItem-name-0,Price-0,Review Count-0,Sleeve Length-0,Fit-0,Common generic name-0,Country of production-0,Net Quantity-0,Marketed and imported by-0
"1756098657-39","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1245031001.html","4.5","Cropped","Burgundy","Art. No.: 1245031001","Bralette top in sequined velour with delicate piping. Square neckline, wide grosgrain shoulder straps and concealed elastication at the hem. Jersey lining.","Sequined bralette top","Rs. 1,999.00","Reviews [2]","Sleeveless","Slim fit","Vest top","China","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098664-40","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1296867001.html","5","Cropped","Black","Art. No.: 1296867001","Cropped, fitted top in heavy interlock jersey with spaghetti shoulder straps, a straight neckline and motif-detail metal buttons down the front.","Cropped strappy top","Rs. 999.00","Reviews [1]","","Slim fit","Vest top","China","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098671-41","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1296867002.html","5","Cropped","White","Art. No.: 1296867002","Cropped, fitted top in heavy interlock jersey with spaghetti shoulder straps, a straight neckline and motif-detail metal buttons down the front.","Cropped strappy top","Rs. 999.00","Reviews [1]","","Slim fit","Vest top","China","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098678-42","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1289905004.html","4","Cropped","Black","Art. No.: 1289905004","Cropped top in textured jersey with a deep, V-shaped neckline, twisted detail at the centre of the bust and long sleeves with flared cuffs.","Cropped twist-detail top","Rs. 1,699.00","Reviews [4]","Long sleeve","Slim fit","Top","China","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098683-43","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1293310001.html","","Cropped","Cream","Art. No.: 1293310001","Cropped, crochet-look vest top with a round neckline and a keyhole opening with a concealed button at the back. Fringed hem. Unlined.","Crochet-look vest top","Rs. 1,999.00","","Sleeveless","Regular fit","Vest top","China","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098689-44","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1283561003.html","3.7","Cropped","Dark khaki green","Art. No.: 1283561003","Cropped bralette top in jersey with lined, gathered cups and wide shoulder straps.","Bralette top","Rs. 1,499.00","Reviews [3]","Sleeveless","Slim fit","Vest top","Turkey/Türkiye","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098696-45","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1289924001.html","","Cropped","Dark brown","Art. No.: 1289924001","Cropped, sleeveless top in woven fabric with rows of fringes throughout the design. Round neckline and a keyhole opening with narrow, coated ties at the back. Straight-cut hem with a slit at each side. Lined.","Fringe-trimmed top","Rs. 1,599.00","","Sleeveless","Regular fit","Top","China","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098702-46","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1049251002.html","4.7","Cropped","White","Art. No.: 1049251002","Cropped, fitted vest top in ribbed cotton jersey with a narrow trim around the neckline and armholes.","Cropped vest top","Rs. 699.00","Reviews [4893]","Sleeveless","Slim fit","Vest top","Bangladesh","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098707-47","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1271900002.html","4","Cropped","Black","Art. No.: 1271900002","Cropped, fitted vest top in ribbed cotton jersey with ladder lace insets around the neckline and armholes.","Cropped vest top","Rs. 999.00","Reviews [1]","","Slim fit","Vest top","China","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
"1756098712-48","https://www2.hm.com/en_in/women/shop-by-product/tops/cropped-tops.html","","","https://www2.hm.com/en_in/productpage.1255494004.html","4.5","Cropped","Light blue","Art. No.: 1255494004","Cropped, fitted polo shirt in soft cotton jersey with a collar, button placket and short sleeves.","Cropped polo shirt","Rs. 999.00","Reviews [85]","Short sleeve","Slim fit","Polo shirt","China","1 N","H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India"
