URL,Product Name,Price,currency,OEM Part For,Part Number,Availability,Breadcrumbs,Description,Additional Description
https://www.ereplacementparts.com/grinding-wheel-diameter-332-thick-arbor-p-147471.html,"Grinding Wheel - 14 Diameter,​ 49-94-1405",15.35,USD,Milwaukee,49-94-1405,In Stock,"Repair Parts Home > Power Tool Parts > Accessories > 49-94-1405 Grinding Wheel - 14 Diameter,","14 inch x 3/32 inch x 1 inch A36P Type 1 Comprehensive offering for general purpose to specialized high performance applications Consistent performance from wheel to wheel through superior manufacturing processes Tested for balance, resulting in smooth, vibration free grinding and cutting Milwaukee's comprehensive offering of grinding and cutting wheels consists of 45 unique products ranging in diameters from 4-1/2 in. to 14 in., with arbor configurations of 7/8 in., 20mm, 1 in. and 5/8 in.-11. Milwaukee's abrasive offering is manufactured using three types of abrasive grains, Aluminum Oxide, Silicon Carbide, and Zirconia Alumina, providing products for general purpose to specialized high performance applications. Diameter: 14"" Thickness: 3/32"" Arbor: 1"" Application: Metal Cutting Max. RPM: 4, 365 Grit: A36P QTY: 1",Classification: Accessory Weight: 1.60 lbs.
https://www.ereplacementparts.com/grinding-wheel-412-diameter-thick-arbor-p-114861.html,Grinding Wheel - 4-1/​2-inch Di DW4541,6.15,USD,DeWALT,DW4541,In Stock,Repair Parts Home > Power Tool Parts > Accessories > DW4541 Grinding Wheel - 4-1/2-inch Di,"Diameter: 4-1/2"" Thickness: 1/4"" Arbor: 7/8"" Application: FAST METAL GRINDING / GENERAL PURPOSE Max. RPM: 13, 300 RPM QTY: 1 Grit: A24N",Classification: Accessory Weight: 0.35 lbs.
https://www.ereplacementparts.com/grinding-wheel-412-diameter-thick-arbor-p-114837.html,Grinding Wheel - 4-1/​2-inch Di DW4518,4.13,USD,DeWALT,DW4518,In Stock,Repair Parts Home > Power Tool Parts > Accessories > DW4518 Grinding Wheel - 4-1/2-inch Di,"Diameter: 4-1/2"" Thickness: 1/8"" Arbor: 7/8"" Application: METAL CUTTING / LIGHT GRINDING Max. RPM: 13, 300 RPM QTY: 1 Grit: A24R",Classification: Accessory Weight: 0.20 lbs.
https://www.ereplacementparts.com/grinding-wheel-diameter-thick-arbor-p-147443.html,"Grinding Wheel - 5 Diameter,​ 49-94-5020",5.33,USD,Milwaukee,49-94-5020,,"Repair Parts Home > Power Tool Parts > Accessories > 49-94-5020 Grinding Wheel - 5 Diameter,","5 inch x 1/4 inch x 7/8 inch A24R Type 27 Comprehensive offering for general purpose to specialized high performance applications Consistent performance from wheel to wheel through superior manufacturing processes Tested for balance, resulting in smooth, vibration free grinding and cutting Milwaukee's comprehensive offering of grinding and cutting wheels consists of 45 unique products ranging in diameters from 4-1/2 in. to 14 in., with arbor configurations of 7/8 in., 20mm, 1 in. and 5/8 in.-11. Milwaukee's abrasive offering is manufactured using three types of abrasive grains, Aluminum Oxide, Silicon Carbide, and Zirconia Alumina, providing products for general purpose to specialized high performance applications. Diameter: 5"" Thickness: 1/4"" Arbor: 7/8"" Application: METAL GRINDING / GENERAL PURPOSE Max. RPM: 12, 225 Grit: A24R QTY: 1",Classification: Accessory Weight: 0.40 lbs.
https://www.ereplacementparts.com/grinding-wheel-412-diameter-thick-arbor-p-501743.html,Grinding Wheel - 4-1/​2-inch Di DW8310,11.47,USD,DeWALT,DW8310,,Repair Parts Home > Power Tool Parts > Accessories > DW8310 Grinding Wheel - 4-1/2-inch Di,"Diameter: 4-1/2"" Arbor: 7/8"" Max. RPM: 13, 300 Grit: 120 QTY: 1",Classification: Accessory Weight: 0.20 lbs.
https://www.ereplacementparts.com/grinding-wheel-412-diameter-thick-arbor-p-501691.html,Grinding Wheel - 4-1/​2-inch Di DW8309,11.22,USD,DeWALT,DW8309,,Repair Parts Home > Power Tool Parts > Accessories > DW8309 Grinding Wheel - 4-1/2-inch Di,"Diameter: 4-1/2"" Arbor: 7/8"" Max. RPM: 13, 300 Grit: 80 QTY: 10",Classification: Accessory Weight: 0.20 lbs.
https://www.ereplacementparts.com/grinding-wheel-diameter-040-thick-arbor-p-146844.html,"Grinding Wheel - 5 Diameter,​ TCW1S500",5.16,USD,Bosch,TCW1S500,,"Repair Parts Home > Power Tool Parts > Accessories > TCW1S500 Grinding Wheel - 5 Diameter,","This ISO 41 Rapido thin cutting wheel provides up to 50% less cutting time and require less force. It is excellent for vibration free cutting and no burring to avoid rework. Diameter: 5"" Thickness: .040"" Arbor: 7/8"" Application: Metal/Stainless Steel Cutting Max. RPM: 12, 200 RPM Grit: AS60INOX-BF QTY: 1",Classification: Accessory Weight: 0.10 lbs.
https://www.ereplacementparts.com/grinding-wheel-p-114848.html,Grinding Wheel - 4 DW4419,5.16,USD,"DeWALT, Black and Decker",DW4419,,Repair Parts Home > Power Tool Parts > Accessories > DW4419 Grinding Wheel - 4,"Diameter: 4"" Thickness: 1/4"" Arbor: 5/8"" Application: METAL GRINDING / GENERAL PURPOSE Max. RPM: 15, 200 RPM QTY: 1 Grit: A24R",Classification: Accessory Weight: 0.30 lbs.
https://www.ereplacementparts.com/grinding-wheel-412-diameter-thick-arbor-p-114914.html,Grinding Wheel - 4-1/​2-inch Di DW4528,5.16,USD,DeWALT,DW4528,,Repair Parts Home > Power Tool Parts > Accessories > DW4528 Grinding Wheel - 4-1/2-inch Di,"Diameter: 4-1/2"" Thickness: 1/8"" Arbor: 7/8"" Application: TYPE 27 CONCRETE CUTTING Max. RPM: 13, 300 RPM QTY: 1 Grit: C24R",Classification: Accessory Weight: 0.20 lbs.
https://www.ereplacementparts.com/grinding-wheel-412-diameter-thick-arbor-p-114953.html,Grinding Wheel - 4-1/​2-inch Di DW8434,4.13,USD,DeWALT,DW8434,,Repair Parts Home > Power Tool Parts > Accessories > DW8434 Grinding Wheel - 4-1/2-inch Di,"Diameter: 4-1/2"" Thickness: 1/8"" Arbor: 7/8"" Application: PIPELINE CUTTING, GRINDING / TYPE 27 Max. RPM: 13, 300 RPM QTY: 1 Grit: A24R",Classification: Accessory Weight: 0.20 lbs.
https://www.ereplacementparts.com/grinding-wheel-412-diameter-040-thick-arbor-p-146839.html,Grinding Wheel - 4-1/​2 Diamet TCW27S450,4.13,USD,Bosch,TCW27S450,,Repair Parts Home > Power Tool Parts > Accessories > TCW27S450 Grinding Wheel - 4-1/2 Diamet,"This Type 27A Rapido thin cutting wheel provides up to 50% less cutting time and require less force. It is excellent for vibration free cutting and no burring to avoid rework. Diameter: 4-1/2"" Thickness: .040"" Arbor: 7/8"" Application: Metal/Stainless Steel Cutting Max. RPM: 13, 280 Grit: AS60INOX-BF QTY: 1",Classification: Accessory Weight: 0.05 lbs.
https://www.ereplacementparts.com/grinding-wheel-412-diameter-thick-5811-arbor-p-114863.html,Grinding Wheel - 4-1/​2-inch Di DW4542,6.52,USD,DeWALT,DW4542,,Repair Parts Home > Power Tool Parts > Accessories > DW4542 Grinding Wheel - 4-1/2-inch Di,"Diameter: 4-1/2"" Thickness: 1/4"" Arbor: 5/8""-11 Application: FAST METAL GRINDING / GENERAL PURPOSE Max. RPM: 13, 300 RPM QTY: 1 Grit: A24N",Classification: Accessory Weight: 0.50 lbs.
https://www.ereplacementparts.com/grinding-wheel-diameter-045-thick-arbor-p-147480.html,"Grinding Wheel - 6 Diameter,​ 49-94-6300",5.33,USD,Milwaukee,49-94-6300,,"Repair Parts Home > Power Tool Parts > Accessories > 49-94-6300 Grinding Wheel - 6 Diameter,","6 inch x .045 inch x 7/8 inch A60T Type 1 Comprehensive offering for general purpose to specialized high performance applications Consistent performance from wheel to wheel through superior manufacturing processes Tested for balance, resulting in smooth, vibration free grinding and cutting Milwaukee's comprehensive offering of grinding and cutting wheels consists of 45 unique products ranging in diameters from 4-1/2 in. to 14 in., with arbor configurations of 7/8 in., 20mm, 1 in. and 5/8 in.-11. Milwaukee's abrasive offering is manufactured using three types of abrasive grains, Aluminum Oxide, Silicon Carbide, and Zirconia Alumina, providing products for general purpose to specialized high performance applications. Diameter: 6"" Thickness: .045"" Arbor: 7/8"" Application: Metal Cutting Max. RPM: 10, 185 Grit: A60T QTY: 1",Classification: Accessory Weight: 0.20 lbs.
https://www.ereplacementparts.com/grinding-wheel-diameter-thick-5811-arbor-p-146333.html,Grinding Wheel - 7-inch Diamet 741414-B-10,75.79,USD,Makita,741414-B-10,,Repair Parts Home > Power Tool Parts > Accessories > 741414-B-10 Grinding Wheel - 7-inch Diamet,"7"" Hubbed Grinding Wheel Diameter: 7"" Thickness: 1/4"" Arbor: 5/8""-11 Application: Metal Polishing/General Flat Grinding Max. RPM: 8, 500 Grit: 24 QTY: 1",Classification: Accessory Weight: 0.95 lbs.
https://www.ereplacementparts.com/grinding-wheel-diameter-045-thick-arbor-p-115007.html,Grinding Wheel - 4-inch Diamet DW8420,4.13,USD,DeWALT,DW8420,,Repair Parts Home > Power Tool Parts > Accessories > DW8420 Grinding Wheel - 4-inch Diamet,"Diameter: 4"" Thickness: .045"" Arbor: 5/8"" Application: STAINLESS, THIN METAL CUTTING & GRINDING/TYPE 27 Max. RPM: 15, 200 RPM QTY: 1 Grit: A60T",Classification: Accessory Weight: 0.10 lbs.
https://www.ereplacementparts.com/grinding-wheel-diameter-thick-arbor-p-114949.html,Grinding Wheel - 5-inch Diamet DW8474,9.80,USD,DeWALT,DW8474,,Repair Parts Home > Power Tool Parts > Accessories > DW8474 Grinding Wheel - 5-inch Diamet,"Diameter: 5"" Thickness: 1/4"" Arbor: 7/8"" Application: ALUMINUM GRINDING WHEELS / TYPE 27 Max. RPM: 12, 200 RPM QTY: 1 Grit: A30N",Classification: Accessory Weight: 0.40 lbs.
https://www.ereplacementparts.com/grinding-wheel-412-diameter-thick-5811-arbor-p-501693.html,Grinding Wheel - 4-1/​2-inch Di DW8313,12.95,USD,DeWALT,DW8313,,Repair Parts Home > Power Tool Parts > Accessories > DW8313 Grinding Wheel - 4-1/2-inch Di,"Diameter: 4-1/2"" Arbor: 5/8""-11 Max. RPM: 13, 300 Grit: 80 QTY: 5",Classification: Accessory Weight: 0.35 lbs.
https://www.ereplacementparts.com/grinding-wheel-p-146911.html,Grinding Wheel - 4 2610065820,4.13,USD,Bosch,2610065820,,Repair Parts Home > Power Tool Parts > Accessories > 2610065820 Grinding Wheel - 4,"Die Grinder / Straight Grinder Wheel Diameter: 4"" Thickness: .045"" Arbor: 5/8"" Application: Metal / Inox Cutting Max. RPM: 19, 000 Grit: AS46T-BF QTY: 1",Classification: Part Weight: 0.01 lbs.
https://www.ereplacementparts.com/grit-coarse-blade-sharpening-wheel-p-203538.html,60 Grit Coarse Blade Sharpenin A-69032,203.08,USD,Makita,A-69032,,Repair Parts Home > Power Tool Parts > Makita Parts > A-69032 60 Grit Coarse Blade Sharpenin,"Diameter: 7-7/8"" Thickness: 3"" Arbor: 1"" Application: Blade Sharpening Max. RPM: 560 Grit: 60 QTY: 1",Classification: Accessory Weight: 7.10 lbs.
https://www.ereplacementparts.com/grinding-wheel-diameter-thick-arbor-p-147453.html,"Grinding Wheel - 7 Diameter,​ 49-94-7020",7.18,USD,Milwaukee,49-94-7020,,"Repair Parts Home > Power Tool Parts > Accessories > 49-94-7020 Grinding Wheel - 7 Diameter,","7 inch x 1/4 inch x 7/8 inch A24R Type 27 Comprehensive offering for general purpose to specialized high performance applications Consistent performance from wheel to wheel through superior manufacturing processes Tested for balance, resulting in smooth, vibration free grinding and cutting Milwaukee's comprehensive offering of grinding and cutting wheels consists of 45 unique products ranging in diameters from 4-1/2 in. to 14 in., with arbor configurations of 7/8 in., 20mm, 1 in. and 5/8 in.-11. Milwaukee's abrasive offering is manufactured using three types of abrasive grains, Aluminum Oxide, Silicon Carbide, and Zirconia Alumina, providing products for general purpose to specialized high performance applications. Diameter: 7"" Thickness: 1/4"" Arbor: 7/8"" Application: METAL GRINDING / GENERAL PURPOSE Max. RPM: 8, 600 Grit: A24R QTY: 1",Classification: Accessory Weight: 0.90 lbs.
